#anidi -ídia=categories: A;fonts: dsalut;
#avist avista=categories: A;fonts: LT; arcaisme
#baador=categories: A;fontsg: GDLC, arcaisme;
#baladí baladina=categories: A;fonts: LT; arcaisme
#blauverda=categories: A;fonts: LT; error? de quina font? En el DDLC blauverd -a
#burundià burundiana=categories: A;fonts: LT; no és en els diccionaris
#camelès camelesa=categories: A;fonts: LT; RAR
#cingalès cingalesa=categories: A;fonts: LT; Només GDLC, equivalent a singalès
#coroner coronera=categories: A;fonts: LT; inusual i confús
#cristal=categories: A;fonts: dsalut; #ATENCIÓ: relatiu a la cresta!
#cucurell cucurella=categories: A;fonts: LT; només GDLC
#curd curda=categories: A;fonts: GDLC; forma no usada de kurd
#emperadora=categories: A;fonts: LT;
#eret ereta=categories: A;fonts: DIEC; arcaisme
#eret ereta=categories: A;fonts: LT; arcaisme, es confon amb érets
#gibraltarenc gibraltarenca=categories: A;fonts: LT; no és en cap diccionari!
#hacker=categories: A;fonts: GDLC;
#hondurenc hondurenca=categories: A;fonts: LT; no és en els diccionaris
#joana=categories: A;fonts: LT;
#junior juniora=categories: A;fonts: LT;
#jóc joca=categories: A;fonts: LT; molt poc usual
#mirant=categories: A;fonts: LT; inusual, només en heràldica
#monocomponent=categories: AI;fonts: LT;
#multicomponent=categories: AI;fonts: LT;
#nostras=categories: AI;fonts: dsalut;
#nòmade=categories: A;fonts: LT; només GDLC!
#polià poliana=categories: A;fonts: LT; es confon amb polaines
#pros=categories: AI;fonts: LT; infreqüent
#pèlvic pèlvica=categories: A;fonts: LT;
#recorrible=categories: A;fonts: LT; ERROR!
#resecable=categories: A;fonts: dsalut;
#sentent=categories: A;fonts: termcat;
#sintent=categories: A;fonts: termcat;
#somordo somorda=categories: A;fonts: LT; dialectal
#teb teba=categories: A;fonts: LT;
#techno=categories: AI;fonts: DNV,anglès; adaptat en tecno
#vende=categories: A;fonts: GDLC; inusual
#vivace=categories: AMS;fonts: AVL,GDLC; Pot ser confús
#víking=categories: A;fonts: LT; #eliminat de DIEC i DNV
#xotro xotra=categories: A;fonts: LT; només DIEC, dialectal
#xotxo xotxa=categories: A;fonts: LT; castellanimse, només DIEC
10è 10a [pl. 10ns]=categories: AO;fonts: LT;
11è 11a [pl. 11ns]=categories: AO;fonts: LT;
12è 12a [pl. 12ns]=categories: AO;fonts: LT;
13è 13a [pl. 13ns]=categories: AO;fonts: LT;
14è 14a [pl. 14ns]=categories: AO;fonts: LT;
15è 15a [pl. 15ns]=categories: AO;fonts: LT;
16è 16a [pl. 16ns]=categories: AO;fonts: LT;
17è 17a [pl. 17ns]=categories: AO;fonts: LT;
18è 18a [pl. 18ns]=categories: AO;fonts: LT;
19è 19a [pl. 19ns]=categories: AO;fonts: LT;
1r 1a=categories: AO;fonts: LT;
20è 20a [pl. 20ns]=categories: AO;fonts: LT;
2D=categories: AI;fonts: termcat;
2n 2a=categories: AO;fonts: LT;
3D=categories: AI;fonts: termcat;
3XL=categories: AI;fonts: wiki;
3r 3a=categories: AO;fonts: LT;
4XL=categories: AI;fonts: wiki;
4t 4a=categories: AO;fonts: LT;
4x4=categories: AI;fonts: esadir,termcat;
5XL=categories: AI;fonts: wiki;
5è 5a [pl. 5ns]=categories: AO;fonts: LT;
6è 6a [pl. 6ns]=categories: AO;fonts: LT;
7è 7a [pl. 7ns]=categories: AO;fonts: LT;
8è 8a [pl. 8ns]=categories: AO;fonts: LT;
9è 9a [pl. 9ns]=categories: AO;fonts: LT;
ABS=categories: AI;fonts: termcat;
CMYK=categories: AI; fonts: termcat;
CompartirIgual=categories: AI;fonts: CC;
FFP2=categories: AI;fonts: fundeu;
HD=categories: AI;fonts: sigla, anglès;
JIT=categories: AI;fonts: sigla, termcat;
LGBT-fòbic LGBT-fòbica=categories: A;fonts: termcat;
LGBT=categories: AI; fonts: termcat;
LGBTI-fòbic LGBTI-fòbica=categories: A;fonts: termcat;
LGBTI=categories: AI; fonts: derivat;
LGBTIQ=categories: AI; fonts: derivat;
LGBTQ-fòbic LGBTQ-fòbica=categories: A;fonts: termcat;
LGBTQ=categories: AI; fonts: derivat;
LGBTQI=categories: AI; fonts: derivat;
LGTB-fòbic LGTB-fòbica=categories: A;fonts: termcat;
LGTB=categories: AI; fonts: termcat;
LGTBI=categories: AI; fonts: derivat;
LGTBIQ=categories: AI; fonts: derivat;
N95=categories: AI;fonts: fundeu;
NP-complet NP-completa=categories: A;fonts: LT;
NoComercial=categories: AI;fonts: CC;
P2P=categories: AI;fonts: anglès;
P3=categories: AI;fonts: wikipedia;
P4=categories: AI;fonts: wikipedia;
P5=categories: AI;fonts: wikipedia;
QR=categories: AI; fonts: sigla;
RGB=categories: AI; fonts: termcat;
SSD=categories: AI;fonts: sigla;
STEAM=categories: AI;fonts: sigla;
STEM=categories: AI;fonts: sigla;
SenseObraDerivada=categories: AI;fonts: CC;
UHT=categories: AI;fonts: termcat;
WASP=categories: AI;fonts: english;
XL=categories: AI;fonts: wiki;
XXL=categories: AI;fonts: wiki;
XXXL=categories: AI;fonts: wiki;
aalenià aaleniana=categories: A;fonts: LT;
abacial=categories: A;fonts: LT;
abacista=categories: A;fonts: LT;
abacterial=categories: A;fonts: dsalut;
abacterià abacteriana=categories: A;fonts: dsalut;
abacterièmic abacterièmica=categories: A;fonts: dsalut;
abadal=categories: A;fonts: LT;
abadeger abadegera=categories: A;fonts: LT;
abadenc abadenca=categories: A;fonts: LT;
abajocat abajocada=categories: A;fonts: LT;
abaldufat abaldufada=categories: A;fonts: LT;
abalisador abalisadora=categories: A;fonts: LT;
abalit abalida=categories: A;fonts: LT;
abaltidor -a=categories: A; fonts: Jané;
abambollat abambollada=categories: A;fonts: LT;
abandonador abandonadora=categories: A;fonts: LT;
abandonista=categories: A;fonts: LT;
abaritonat abaritonada=categories: A;fonts: LT;
abarnegat abarnegada=categories: A;fonts: LT;
abarrotat abarrotada [sup. abarrotadíssim]=categories: A; font:apertium;
abarticular=categories: A;fonts: dsalut;
abassegador abassegadora=categories: A;fonts: LT;
abastable=categories: A;fonts: LT;
