Lema;LlenguaOrigen;Lemes_Morfema;PluralIrregular;CatGramatical;NivellLlengua;CatSemantica
ab;;;;preposició;antic;
abadegeria;;;;femení;;
abadeget;;;;masculí;;
abagotar;;;;verb transitiu;;
abarracar;;;;verb transitiu;;
abarracar;;;;verb transitiu i pronominal;;
abarracar;;;;verb pronominal;;
abàsic;;-a;;adjectiu;;
abastonejar;;;;verb transitiu;;
abatollador;;-a;;masculí i femení;;
abatussar;;;;verb transitiu;;
abciac;;-aga;;adjectiu;antic;
abellada;;;;femení;;
abellam;;;;masculí;;
abeltir;;;;verb transitiu i pronominal;;
abietaci;;-àcia;;adjectiu i femení;;
ablaïdor;;-a;;adjectiu;;
ablamor;;;;femení;;
ablaürar;;;;verb transitiu;;
ablaüró;;;;masculí;;
abombar;;;;verb transitiu i pronominal;;
abonyar;;;;verb transitiu i pronominal;;
abornar;;;;verb transitiu;;
abotargar-se;;;;verb pronominal;;
abotinat;;-ada;;adjectiu;;
abotonar;;;;verb transitiu i pronominal;;
abotonar-se;;;;verb pronominal;;
abovar;;;;verb transitiu i pronominal;;
abraçable;;;;adjectiu;;
abrusidor;;-a;;adjectiu;;
abrusiment;;;;masculí;;
abufonat;;-ada;;adjectiu;;
abundancial;;;;adjectiu;;
acalòric;;-a;;adjectiu;;
acaminar;;;;verb intransitiu;col·loquial;
acanaladura;;;;femení;;
acanellar;;;;verb transitiu;;
acapellanat;;-ada;;adjectiu;;
acapollar;;;;verb intransitiu;;
acapollat;;-ada;;adjectiu;;
acarabassat;;-ada;;adjectiu;;
acaragoladís;;-issa;;adjectiu;;
acaragolament;;;;masculí;;
acariciable;;;;adjectiu;;
acarrassar-se;;;;verb pronominal;;
acartonar-se;;;;verb pronominal;;
acatxorrar;;;;verb transitiu;;
accisa;;;;femení;;
acén;;;;adverbi;antic;
acensalar;;;;verb transitiu;;
acidificador;;;;masculí;;
aclafollat;;-ada;;adjectiu;;
acognòsia;;;;femení;;
acolxar;;;;verb transitiu;;
acolxat;;;;masculí;;
acomesa;;;;femení;;
acometre;;;;verb transitiu;;
acompassar;;;;verb transitiu;;
aconetes;;;;loc. verb.;;
aconformar;;;;verb transitiu i pronominal;;
acontényer;;;;verb intransitiu;;
acontenyiment;;;;masculí;;
acoquinador;;-a;;adjectiu i masculí i femení;;
acorrufó;;;;masculí;;
acotonat;;-ada;;adjectiu;;
acovardament;;;;masculí;;
acovardar;;;;verb transitiu i pronominal;;
acras;;;;masculí invariable;;
acreiximent;;;;masculí;;
actoral;;;;adjectiu;;
acurtadura;;;;femení;;
ad;;;;preposició;col·loquial;
adenotomia;;;;femení;;
adí;;;;masculí invariable;;
adinsament;;;;masculí;;
adinsar;;;;verb transitiu i pronominal;;
adjuntia;;;;femení;;
adormissament;;;;masculí;;
adrissar;;;;verb transitiu;;
ADSL;;;;femení (o masculí);;
adulament;;;;masculí;;
aerador;;;;masculí;;
aeroesgolador;;;;masculí;;
aerofòbic;;-a;;adjectiu;;
afaenament;;;;masculí;;
afincament;;;;masculí;;
afissament;;;;masculí;;
afissat;;-ada;;adjectiu;;
aflamencat;;-ada;;adjectiu;;
afluixó;;;;masculí;;
afondar;;;;verb transitiu;;
afondiment;;;;masculí;;
afondir;;;;verb transitiu;;
afondir;;;;verb intransitiu;;
aforisma;;;;femení;;
aforrament;;;;masculí;col·loquial;
aforrar;;;;verb transitiu i intransitiu;col·loquial;
afortalar;;;;verb transitiu i pronominal;;
africanitat;;;;femení;;
afro;;;;adjectiu;;
aganar;;;;verb transitiu;;
agaons;;;;masculí plural;;
agarbissonar;;;;verb transitiu;;
agimponar-se;;;;verb pronominal;;
agnòsic;;-a;;adjectiu;;
agoniar;;;;verb transitiu i pronominal;;
agoniós;;-osa;;adjectiu;;
agosar-se;;;;verb pronominal;;
agramillar;;;;verb transitiu;;
agranacarrers;;;;masculí i femení invariable;;
agravi;;;;masculí;;
agraviar;;;;verb transitiu;;
agraviar;;;;verb pronominal;;
agroalimentació;;;;femení;;
aguaitacossos;;;;masculí invariable;;
aguar;;;;verb transitiu;;
aguar;;;;verb pronominal;;
aigavessada;;;;femení;;
aiguar;;;;verb transitiu i pronominal;;
aiguar;;;;locució;;
aigua-rojada;;;;femení;;
aiguatjada;;;;femení;;
aiguavessada;;;;femení;;
aigüeta;;;;femení;;
aireació;;;;femení;;
airegada;;;;femení;;
airegós;;-osa;;adjectiu;;
