DENOMINACIÓ DELS MUNICIPIS VALENCIANS 			
Font: http://www.avl.gva.es/documents/84900/91479/Denominaci%C3%B3+dels+municipis+valencians/			
NOM VALENCIÀ	NOM OFICIAL 	GENTILICI 	PRED. LING. 
Ademús 	Ademuz 	ademusser, ademussera 	castellà 
Ador 	Ador 	adorer, adorera 	valencià 
Agost 	Agost 	agoster, agostera 	valencià 
Agres 	Agres 	agresà, agresana 	valencià 
Agullent 	Agullent 	agullentí, agullentina 	valencià 
Aielo de Malferit 	Aielo de Malferit 	aieloner, aielonera 	valencià 
Aielo de Rugat 	Aielo de Rugat 	aielí, aielina 	valencià 
Aigües 	Aigües 	aigüer, aigüera 	valencià 
Aín 	Aín 	aïnenc, aïnenca 	valencià 
Aiòder 	Ayódar 	aiodà, aiodana; aioder, aiodera 	castellà 
Aiora 	Ayora 	aiorí, aiorina 	castellà 
Alacant 	Alacant / Alicante 	alacantí, alacantina 	valencià 
Alaquàs 	Alaquàs 	alaquaser, alaquasera 	valencià 
Albaida 	Albaida 	albaidí, albaidina 	valencià 
Albal 	Albal 	albalenc, albalenca 	valencià 
Albalat de la Ribera 	Albalat de la Ribera 	albalatenc, albalatenca 	valencià 
Albalat dels Sorells 	Albalat dels Sorells 	albalatà, albalatana 	valencià 
Albalat dels Tarongers 	Albalat dels Tarongers 	albalatenc, albalatenca 	valencià 
Albatera 	Albatera 	albaterà, albaterana 	castellà 
Alberic 	Alberic 	alberiquer, alberiquera; alberiqueny, alberiquenya 	valencià 
Albocàsser 	Albocàsser 	albocassí, albocassina 	valencià 
Alboraia 	Alboraia / Alboraya 	alboraier, alboraiera 	valencià 
Alboraig 	Alborache 	alborager, alboragera 	castellà 
Albuixec 	Albuixech 	albuixequer, albuixequera 	valencià 
Alcalà de Xivert 	Alcalà de Xivert 	xivertí, xivertina 	valencià 
Alcalalí 	Alcalalí 	alcalalí, alcalalina 	valencià 
Alcàntera de Xúquer 	Alcàntera de Xúquer 	alcanterí, alcanterina 	valencià 
Alcàsser 	Alcàsser 	alcasser, alcassera 	valencià 
