PRED. LING.	NOM VALENCIÀ	NOM OFICIAL	SÓN IGUALS	OBSERVACIONS
castellà	Ademús	Ademuz	FALS	
castellà	Aiòder	Ayódar	FALS	
castellà	Aiora	Ayora	FALS	
castellà	Alboraig	Alborache	FALS	
castellà	les Alcubles	Alcublas	FALS	
castellà	l’Alcúdia de Veo	Alcudia de Veo	FALS	
castellà	Algímia d’Almonesir	Algimia de Almonacid	FALS	
castellà	Almedíxer	Almedíjar	FALS	
castellà	Alpont	Alpuente	FALS	
castellà	Aranyel	Arañuel	FALS	
castellà	Argeleta	Argelita	FALS	
castellà	Asp	Aspe	FALS	
castellà	Assuévar	Azuébar	FALS	
castellà	Barraques	Barracas	FALS	
castellà	Begís	Bejís	FALS	
castellà	Benaixeve	Benagéber	FALS	
castellà	Benejússer	Benejúzar	FALS	
castellà	Benijòfar	Benijófar	FALS	
castellà	Bicorb	Bicorp	FALS	
castellà	Bigastre	Bigastro	FALS	
castellà	Bolbait	Bolbaite	FALS	
castellà	Bunyol	Buñol	FALS	
castellà	Cases Altes	Casas Altas	FALS	
castellà	Cases Baixes	Casas Bajas	FALS	
castellà	el Castell de Vilamalefa	Castillo de Villamalefa	FALS	
castellà	Castellnou	Castellnovo	FALS	
castellà	Cofrents	Cofrentes	FALS	
castellà	Coix	Cox	FALS	
castellà	Cortes d’Arenós	Cortes de Arenoso	FALS	
castellà	Cortes de Pallars	Cortes de Pallás	FALS	
castellà	Daia Nova	Daya Nueva	FALS	
castellà	Daia Vella	Daya Vieja	FALS	
castellà	Domenyo	Domeño	FALS	
castellà	Dosaigües	Dos Aguas	FALS	
castellà	Énguera	Enguera	FALS	
castellà	Espadella	Espadilla	FALS	
castellà	Figueres	Higueras	FALS	
castellà	Figueroles de Domenyo	Higueruelas	FALS	
castellà	la Font de la Reina	Fuente la Reina	FALS	
castellà	les Fonts d’Aiòder	Fuentes de Ayódar	FALS	
castellà	Gàtova	Gátova	FALS	
castellà	la Granja de Rocamora	Granja de Rocamora	FALS	
castellà	Iàtova	Yátova	FALS	
castellà	la Iessa	La Yesa	FALS	
castellà	la Llosa del Bisbe	Losa del Obispo	FALS	
castellà	Lludient	Ludiente	FALS	
castellà	Millars	Millares	FALS	
castellà	Montant	Montán	FALS	
castellà	Montfort	Monforte del Cid	FALS	no es marca
castellà	Navaixes	Navajas	FALS	
castellà	Olocau del Rei	Olocau del Rey	FALS	
castellà	Oriola	Orihuela	FALS	
castellà	Pavies	Pavías	FALS	
castellà	el Pilar de la Foradada	Pilar de la Horadada	FALS	
castellà	Pina	Pina de Montalgrao	FALS	
castellà	la Pobla d’Arenós	Puebla de Arenoso	FALS	
castellà	la Pobla de Sant Miquel	Puebla de San Miguel	FALS	
castellà	Redovà	Redován	FALS	
castellà	Rojals	Rojales	FALS	
castellà	Sacanyet	Sacañet	FALS	
castellà	Saix	Sax	FALS	
castellà	les Salines	Salinas	FALS	
castellà	Sant Antoni de Benaixeve	San Antonio de Benagéber	FALS	
castellà	Sant Fulgenci	San Fulgencio	FALS	
castellà	Sant Isidre	San Isidro	FALS	
castellà	Sant Miquel de les Salines	San Miguel de Salinas	FALS	
castellà	Setaigües	Siete Aguas	FALS	
castellà	Sinarques	Sinarcas	FALS	
castellà	Sogorb	Segorbe	FALS	
castellà	Soneixa	Soneja	FALS	
