#aguar=categories: V;model:aguar;fonts:LT #antic i dialectal, crea confusions
#arrocar=categories: V;model:trencar;fonts:LT dialectal, i crea confusions
#avortir=categories: V;model:servir;fonts:LT #antic
#coldre=categories: V;model:absoldre;fonts:LT
#consellar=categories: V;model:cantar;fonts:LT #poc usual i crea confusions
#corretejar=categories: V;model:envejar;fonts:LT #arcaisme que es confon amb castellanisme
#costipar=categories: V;model:cantar;fonts: esadir
#domdar=categories: V;model:cantar;fonts: DCVB, antic 
#encostipar=categories: V;model:cantar;fonts: esadir
#escondir=categories: V;model:servir;fonts:DNV, GDLC, DIEC #és un arcaisme
#fincar=categories: V;model:trencar;fonts: DIEC, GDLC # és reflexiu, crea confusions
#malvore=categories: V;model:vore;fonts: DNV;
#mercar=categories: V;model:trencar;fonts:LT
#postposar=categories: V;model:anquilosar;fonts:LT
#revoldre=categories: V;model:absoldre;fonts:LT no normatiu, només DCVB
#revore=categories: V;model:vore;fonts: DNV;
#vidrar=categories: V;model:cantar;fonts:LT
#vidriar=categories: V;model:crear;fonts:LT
abacallanar=categories: V;model:cantar;fonts:LT
abaconar=categories: V;model:cantar;fonts:LT
abadanar=categories: V;model:cantar;fonts:LT
abadernar=categories: V;model:cantar;fonts:LT
abadocar=categories: V;model:trencar;fonts:LT
abaixar=categories: V;model:cantar;fonts:LT
abalançar=categories: V;model:començar;fonts:LT
abalisar=categories: V;model:abalisar;fonts:LT
aballestar=categories: V;model:cantar;fonts:LT
abaltir=categories: V;model:servir;fonts:LT
abancalar=categories: V;model:cantar;fonts:LT
abanderar=categories: V;model:cantar;fonts:LT
abandonar=categories: V;model:cantar;fonts:LT
abaratir=categories: V;model:servir;fonts:LT
abarbetar=categories: V;model:cantar;fonts:LT
abarganyar=categories: V;model:cantar;fonts:LT
abarloar=categories: V;model:lloar;fonts:LT
abaronar=categories: V;model:cantar;fonts:LT
abarrancar=categories: V;model:trencar;fonts:LT
abarrocar=categories: V;model:trencar;fonts:LT
abarrotar=categories: V;model:cantar;fonts:LT
abassegar=categories: V;model:pregar;fonts:LT
abastar=categories: V;model:cantar;fonts:LT
abastir=categories: V;model:servir;fonts:LT
abatollar=categories: V;model:cantar;fonts:LT
abatre=categories: V;model:abatre;fonts:LT
abatussar=categories: V;model:capbussar;fonts: DNV;
abcegar=categories: V;model:pregar;fonts:LT
abdicar=categories: V;model:trencar;fonts:LT
abduir=categories: V;model:traduir;fonts:LT
abecar=categories: V;model:trencar;fonts:LT
abellir=categories: V;model:servir;fonts:LT
abessonar=categories: V;model:cantar;fonts:LT
abestiar=categories: V;model:crear;fonts:LT
abeurar=categories: V;model:cantar;fonts:LT
abillar=categories: V;model:cantar;fonts:LT
abirritar=categories: V;model:cantar;fonts:LT
abismar=categories: V;model:cantar;fonts:LT
abissar=categories: V;model:acarnissar;fonts:LT
abjurar=categories: V;model:cantar;fonts:LT
ablactar=categories: V;model:cantar;fonts:LT
ablair=categories: V;model:traduir;fonts:LT
ablamar=categories: V;model:cantar;fonts:LT
ablanir=categories: V;model:servir;fonts:LT
ablaürar=categories: V;model:cantar;fonts: DNV;
ablenar=categories: V;model:ofrenar;fonts:LT
abluir=categories: V;model:traduir;fonts:LT
abocar=categories: V;model:trencar;fonts:LT
abofegar=categories: V;model:pregar;fonts:LT
aboiar=categories: V;model:esglaiar;fonts:LT
aboldronar=categories: V;model:cantar;fonts:LT
abolir=categories: V;model:servir;fonts:LT
abominar=categories: V;model:abominar;fonts:LT
abonançar=categories: V;model:començar;fonts:LT
abonar=categories: V;model:cantar;fonts:LT
abonir=categories: V;model:servir;fonts:LT
abonyegar=categories: V;model:pregar;fonts:LT
abordar=categories: V;model:cantar;fonts:LT
aborrallonar=categories: V;model:cantar;fonts:LT
aborregar=categories: V;model:pregar;fonts:LT
aborronar=categories: V;model:cantar;fonts:LT
abossar=categories: V;model:adossar;fonts:LT
abotifarrar=categories: V;model:cantar;fonts:LT
abracillar=categories: V;model:cantar;fonts:LT
abrandar=categories: V;model:cantar;fonts:LT
abraonar=categories: V;model:cantar;fonts:LT
abrasar=categories: V;model:arrasar;fonts:LT
abrasir=categories: V;model:servir;fonts:LT
abraçallar=categories: V;model:cantar;fonts:LT
abraçar=categories: V;model:començar;fonts:LT
abreujar=categories: V;model:envejar;fonts:LT
abreviar=categories: V;model:crear;fonts:LT
abrigallar=categories: V;model:cantar;fonts:LT
abrigar=categories: V;model:lligar;fonts:LT
